mname,date,Inactive Users,1st Time Openers,First Open %,Opens From 1st Users,Opens per New User,Total Opens,% of Opens From New Users,1st Time Clickers,First Click %,Clicks From 1st Users,Clicks per New User,Total Clicks,% of Clicks From New Users
GETPAIDTOTRY MIKD,2022-11-18,790,1,0.13,1,1.0,10,10.0,1,0.13,1,1.0,1,100.0
Sweeps gen Special,2022-11-18,89,1,1.11,3,3.0,27,11.11,1,1.11,1,1.0,1,100.0
GPTT (GF Marketing),2022-11-19,2937,87,2.35,314,4.42,"1,382",22.72,87,2.88,142,1.63,233,60.94
GiftCardGrabber,2022-11-19,29761,826,1.69,"3,136",6.05,"191,756",1.64,826,2.7,"1,662",2.01,"11,190",14.85
Sig. Surveys (GF Marketing),2022-11-19,7311,81,0.55,224,5.46,"47,453",0.47,81,1.1,119,1.47,"1,069",11.13
SampleThat C,2022-11-19,228,8,2.54,11,1.83,422,2.61,8,3.39,10,1.25,10,100.0
gpttSGRB,2022-11-19,4391,73,0.54,58,2.42,"35,230",0.16,73,1.64,98,1.34,650,15.08
GCGZ1,2022-11-19,3358,72,0.93,135,4.22,"12,350",1.09,72,2.1,116,1.61,473,24.52
Samplegrabber special,2022-11-19,4893,70,0.4,86,4.3,"24,796",0.35,70,1.41,133,1.9,"1,130",11.77
SIGNATURESURVEYS MIKD,2022-11-19,1386,7,0.36,8,1.6,31,25.81,7,0.5,9,1.29,11,81.82
MajorM1,2022-11-19,6620,68,0.46,102,3.29,"27,470",0.37,68,1.02,87,1.28,823,10.57
MyShopDiscounts,2022-11-19,106616,659,0.31,"1,532",4.6,"99,121",1.55,659,0.61,"1,134",1.72,"5,841",19.41
GPTT C,2022-11-19,33261,633,0.91,"1,045",3.38,"174,222",0.6,633,1.87,869,1.37,"7,353",11.82
MajorM2,2022-11-19,42910,606,0.66,"1,092",3.79,"63,770",1.71,606,1.39,893,1.47,"4,006",22.29
SignatureSurveys,2022-11-19,804,6,0.37,3,1.0,10,30.0,6,0.74,7,1.17,7,100.0
gcgSGRB,2022-11-19,14417,591,1.73,"1,077",4.14,"72,660",1.48,591,3.94,803,1.36,"3,860",20.8
MSDZ1,2022-11-19,57231,557,0.52,"1,406",4.67,"21,307",6.6,557,0.96,997,1.79,"2,210",45.11
GPTTco,2022-11-19,16065,526,1.75,"1,492",5.13,"57,045",2.62,526,3.17,848,1.61,"3,161",26.83
GPTT,2022-11-19,2224,50,1.8,137,3.34,"1,658",8.26,50,2.2,78,1.56,110,70.91
SweepsMonthly,2022-11-19,22976,50,0.1,32,1.45,"6,018",0.53,50,0.22,56,1.12,273,20.51
mjsSGRB,2022-11-19,310,5,0.63,6,3.0,73,8.22,5,1.59,6,1.2,6,100.0
GCG MIKD,2022-11-19,491,5,1.01,19,3.8,38,50.0,5,1.01,11,2.2,11,100.0
SigN,2022-11-19,289626,453,0.07,436,2.17,"16,836",2.59,453,0.16,540,1.19,"1,832",29.48
SigCo,2022-11-19,16327,45,0.15,51,2.12,"4,546",1.12,45,0.27,66,1.47,242,27.27
SignatureSurveys,2022-11-19,10946,418,2.34,"1,772",6.66,"71,641",2.47,418,3.68,723,1.73,"3,023",23.92
Major (Dave),2022-11-19,22618,411,1.03,"1,122",4.73,"214,449",0.52,411,1.78,709,1.73,"8,631",8.21
SigM2,2022-11-19,1590,4,0.19,8,2.67,13,61.54,4,0.25,5,1.25,6,83.33
Major 2019,2022-11-19,806,4,0.37,7,2.33,372,1.88,4,0.49,5,1.25,8,62.5
swpgenSGRB,2022-11-19,2003,4,0.15,18,6.0,115,15.65,4,0.2,8,2.0,13,61.54
GPTTZ1,2022-11-19,22008,395,0.67,737,4.95,"41,732",1.77,395,1.76,535,1.35,"1,674",31.96
GiftCardGrabber,2022-11-19,23024,39,0.11,76,3.04,"3,313",2.29,39,0.17,62,1.59,174,35.63
GiftCardGrabber 2,2022-11-19,7010,39,0.34,127,5.29,978,12.99,39,0.55,51,1.31,76,67.11
Sweepsgen2,2022-11-19,6363,37,0.27,67,3.94,"45,999",0.15,37,0.58,49,1.32,"1,394",3.52
GPTTN2,2022-11-19,10893,367,1.45,632,3.88,"19,806",3.19,367,3.26,496,1.35,"1,564",31.71
Sig TRG,2022-11-19,24289,344,0.59,797,5.5,"38,602",2.06,344,1.4,576,1.67,"2,170",26.54
Giftcardgrabber,2022-11-19,52651,337,0.4,508,2.41,"13,326",3.81,337,0.64,434,1.29,"1,454",29.85
Signature 2019,2022-11-19,175279,320,0.09,710,4.28,"93,983",0.76,320,0.18,417,1.3,"4,608",9.05
MajorSweeps,2022-11-19,26131,312,0.56,555,3.72,"70,140",0.79,312,1.18,415,1.33,"1,847",22.47
MajorSweeps,2022-11-19,1463,30,1.54,68,2.96,694,9.8,30,2.01,44,1.47,69,63.77
HiddenMoneyFinder MIKD,2022-11-19,19,3,13.64,11,3.67,23,47.83,3,13.64,3,1.0,3,100.0
InstantWinnerSweeps,2022-11-19,47,3,4.0,4,2.0,10,40.0,3,6.0,4,1.33,4,100.0
GPTT A,2022-11-19,3895,29,0.59,86,3.74,318,27.04,29,0.74,48,1.66,62,77.42
Major Sweeps 2,2022-11-19,10171,284,1.44,930,6.16,"58,858",1.58,284,2.72,524,1.85,"2,470",21.21
Major Sweeps 3,2022-11-19,22560,266,0.43,321,3.24,"59,395",0.54,266,1.17,347,1.3,"1,369",25.35
Sig (Dave),2022-11-19,12103,256,1.32,958,5.88,"142,141",0.67,256,2.07,541,2.11,"6,110",8.85
SigM1,2022-11-19,38249,251,0.41,279,1.79,"3,858",7.23,251,0.65,311,1.24,483,64.39
Major Sweeps 4,2022-11-19,10844,225,1.12,629,5.07,"52,373",1.2,225,2.03,331,1.47,"1,487",22.26
GPTT (Dave),2022-11-19,1616,22,1.1,24,1.33,742,3.23,22,1.34,22,1.0,28,78.57
SignatureSurveys A,2022-11-19,7528,180,1.25,461,4.8,"19,229",2.4,180,2.34,290,1.61,816,35.54
GiftCardGrabber,2022-11-19,629,17,1.86,25,2.08,151,16.56,17,2.63,17,1.0,23,73.91
GiftCardGrabber A,2022-11-19,22262,164,0.41,375,4.03,"29,927",1.25,164,0.73,245,1.49,"1,656",14.79
MAJORSWEEPS MIKD,2022-11-19,4334,15,0.16,7,1.0,121,5.79,15,0.34,15,1.0,23,65.22
GPTTM1,2022-11-19,2703,15,0.4,45,4.09,334,13.47,15,0.55,29,1.93,30,96.67
giftcardgrabber,2022-11-19,25302,146,0.29,160,2.19,"10,530",1.52,146,0.57,194,1.33,702,27.64
IWS,2022-11-19,89,14,8.74,17,1.89,"1,846",0.92,14,13.59,18,1.29,147,12.24
MajorSweeps,2022-11-19,23514,121,0.32,172,2.26,"5,155",3.34,121,0.51,161,1.33,328,49.09
Sweepsgen (Dave),2022-11-19,17551,103,0.35,280,4.59,"62,272",0.45,103,0.58,162,1.57,"1,783",9.09
GetPaidToTry TRG,2022-11-19,46059,"1,291",1.65,"4,363",5.6,"134,683",3.24,1291,2.73,"2,602",2.02,"10,176",25.57
GIFTCARDGRABBER MIKD,2022-11-19,15820,"1,284",4.75,"3,133",3.86,"48,356",6.48,1284,7.51,"2,116",1.65,"6,528",32.41
GPTTN,2022-11-19,25647,"1,142",2.39,"2,260",3.54,"51,850",4.36,1142,4.26,"1,713",1.5,"4,799",35.69
GIFTCARDGRABBER MIKD2,2022-11-19,116,1,0.85,1,1.0,4,25.0,1,0.85,1,1.0,1,100.0
MJSK1,2022-11-19,1188,1,0.08,1,1.0,26,3.85,1,0.08,1,1.0,1,100.0
SwpGF1,2022-11-19,13,1,7.14,2,2.0,5,40.0,1,7.14,1,1.0,1,100.0
stSGRB,2022-11-19,144,1,0.69,1,1.0,2,50.0,1,0.69,1,1.0,1,100.0
Major C,2022-11-19,275,1,0.36,1,1.0,205,0.49,1,0.36,1,1.0,1,100.0
MajorN2 DRAGON,2022-11-19,363,1,0.27,1,1.0,4,25.0,1,0.27,1,1.0,1,100.0
GetPaidtoTry PNT,2022-11-19,126,1,0.79,1,1.0,18,5.56,1,0.79,1,1.0,1,100.0
SweepsGen TRG,2022-11-19,341,1,0.29,3,3.0,34,8.82,1,0.29,2,2.0,2,100.0
Sample TRG,2022-11-19,152,1,0.65,1,1.0,6,16.67,1,0.65,1,1.0,2,50.0
MAJORSWEEPS MIKD,2022-11-20,410,9,0.95,6,1.5,124,4.84,9,2.15,9,1.0,30,30.0
Signature 2019,2022-11-20,15623,85,0.19,122,4.07,"89,046",0.14,85,0.54,134,1.58,"4,533",2.96
GPTT (Dave),2022-11-20,2389,8,0.29,8,1.14,398,2.01,8,0.33,9,1.12,22,40.91
GPTTM1,2022-11-20,2682,8,0.3,35,4.38,315,11.11,8,0.3,11,1.38,31,35.48
GiftCardGrabber,2022-11-20,27186,71,0.21,210,3.68,"10,065",2.09,71,0.26,130,1.83,692,18.79
Sig (Dave),2022-11-20,12443,70,0.32,373,9.32,"99,079",0.38,70,0.56,188,2.69,"4,496",4.18
GiftCardGrabber A,2022-11-20,24971,70,0.18,460,10.45,"23,310",1.97,70,0.28,161,2.3,"1,444",11.15
SIGNATURESURVEYS MIKD,2022-11-20,1460,7,0.41,7,1.17,112,6.25,7,0.48,8,1.14,22,36.36
Sweepsgen (Dave),2022-11-20,17626,58,0.21,150,3.95,"63,229",0.24,58,0.33,93,1.6,"2,524",3.68
GIFTCARDGRABBER MIKD,2022-11-20,17500,487,1.47,"1,167",4.4,"40,692",2.87,487,2.71,857,1.76,"6,517",13.15
MajorSweeps,2022-11-20,23788,47,0.1,75,3.12,"4,352",1.72,47,0.2,80,1.7,303,26.4
SignatureSurveys A,2022-11-20,7105,43,0.2,100,7.14,"16,322",0.61,43,0.6,72,1.67,652,11.04
Sample TRG,2022-11-20,180,4,2.17,5,1.25,14,35.71,4,2.17,5,1.25,6,83.33
GETPAIDTOTRY MIKD,2022-11-20,793,4,0.38,5,1.67,16,31.25,4,0.5,5,1.25,5,100.0
GPTT (GF Marketing),2022-11-20,3547,39,0.84,171,5.7,"2,104",8.13,39,1.09,67,1.72,285,23.51
giftcardgrabber,2022-11-20,25811,39,0.09,64,2.91,"8,459",0.76,39,0.15,59,1.51,595,9.92
GPTTN,2022-11-20,28363,353,0.52,708,4.72,"54,035",1.31,353,1.23,595,1.69,"5,153",11.55
gpttSGRB,2022-11-20,4572,35,0.17,53,6.62,"47,036",0.11,35,0.76,49,1.4,891,5.5
GetPaidToTry TRG,2022-11-20,47798,323,0.33,"1,213",7.68,"135,029",0.9,323,0.67,749,2.32,"10,143",7.38
Sig. Surveys (GF Marketing),2022-11-20,7238,30,0.22,85,5.31,"48,974",0.17,30,0.41,51,1.7,"1,076",4.74
SweepsMonthly,2022-11-20,22543,3,0.01,3,1.5,"5,290",0.06,3,0.01,3,1.0,249,1.2
MJSK1,2022-11-20,1146,3,0.17,2,1.0,16,12.5,3,0.26,3,1.0,4,75.0
sigSGRB,2022-11-20,298,3,1.0,16,5.33,47,34.04,3,1.0,4,1.33,9,44.44
GPTT,2022-11-20,2186,26,0.68,59,3.93,"1,175",5.02,26,1.18,45,1.73,127,35.43
SigN,2022-11-20,296965,252,0.04,270,2.13,"25,180",1.07,252,0.08,331,1.31,"2,406",13.76
MyShopDiscounts,2022-11-20,107932,240,0.08,684,7.77,"106,156",0.64,240,0.22,506,2.11,"6,536",7.74
SigCo,2022-11-20,16567,24,0.07,32,2.67,"5,448",0.59,24,0.14,34,1.42,308,11.04
MajorSweeps,2022-11-20,1557,22,1.08,63,3.71,618,10.19,22,1.39,28,1.27,116,24.14
GiftCardGrabber 2,2022-11-20,5981,22,0.25,97,6.47,713,13.6,22,0.37,40,1.82,74,54.05
GPTTco,2022-11-20,19183,212,0.54,620,5.96,"57,700",1.07,212,1.09,451,2.13,"3,431",13.14
GiftCardGrabber,2022-11-20,34243,211,0.32,587,5.29,"134,621",0.44,211,0.61,464,2.2,"8,495",5.46
GPTT C,2022-11-20,20890,211,0.22,186,3.96,"184,416",0.1,211,1.0,343,1.63,"9,298",3.69
MajorM2,2022-11-20,44098,205,0.2,416,4.73,"59,418",0.7,205,0.46,358,1.75,"4,005",8.94
MSDZ1,2022-11-20,56276,205,0.17,443,4.61,"21,929",2.02,205,0.36,355,1.73,"2,313",15.35
SigM2,2022-11-20,1595,2,0.06,1,1.0,11,9.09,2,0.13,2,1.0,5,40.0
IWS,2022-11-20,105,2,1.87,27,13.5,"1,159",2.33,2,1.87,4,2.0,125,3.2
GetPaidToTry,2022-11-20,254,2,0.78,3,1.5,11,27.27,2,0.78,2,1.0,3,66.67
mjsSGRB,2022-11-20,308,2,0.65,9,4.5,65,13.85,2,0.65,2,1.0,6,33.33
SigM1,2022-11-20,38571,198,0.35,242,1.78,"4,947",4.89,198,0.51,251,1.27,695,36.12
MajorM1,2022-11-20,8124,19,0.05,9,2.25,"25,920",0.03,19,0.23,22,1.16,892,2.47
GPTT A,2022-11-20,3964,19,0.38,65,4.33,420,15.48,19,0.48,26,1.37,57,45.61
GCGZ1,2022-11-20,3207,18,0.31,77,7.7,"14,532",0.53,18,0.56,31,1.72,378,8.2
Samplegrabber special,2022-11-20,4903,17,0.06,25,8.33,"32,378",0.08,17,0.35,34,2.0,"1,574",2.16
MajorSweeps,2022-11-20,26917,167,0.25,281,4.19,"73,563",0.38,167,0.62,238,1.43,"2,293",10.38
GPTTZ1,2022-11-20,22055,156,0.29,444,6.83,"33,745",1.32,156,0.7,256,1.64,"1,598",16.02
gcgSGRB,2022-11-20,14973,153,0.34,250,4.81,"76,531",0.33,153,1.01,258,1.69,"4,255",6.06
Sweepsgen2,2022-11-20,6866,15,0.09,34,5.67,"52,094",0.07,15,0.22,35,2.33,"1,732",2.02
Major Sweeps 4,2022-11-20,11158,146,0.5,303,5.32,"53,273",0.57,146,1.29,224,1.53,"1,922",11.65
SignatureSurveys,2022-11-20,11522,133,0.6,633,9.04,"75,653",0.84,133,1.14,285,2.14,"3,310",8.61
Major Sweeps 2,2022-11-20,10693,127,0.64,498,7.22,"67,486",0.74,127,1.17,240,1.89,"3,167",7.58
GPTTN2,2022-11-20,11270,119,0.47,320,6.04,"30,431",1.05,119,1.04,195,1.64,"2,000",9.75
Major Sweeps 3,2022-11-20,22989,116,0.21,171,3.49,"55,494",0.31,116,0.5,144,1.24,"1,351",10.66
Sig TRG,2022-11-20,24029,109,0.17,317,7.73,"42,176",0.75,109,0.45,254,2.33,"2,585",9.83
Giftcardgrabber,2022-11-20,58024,106,0.07,154,3.85,"14,027",1.1,106,0.18,165,1.56,"1,486",11.1
Major (Dave),2022-11-20,23606,100,0.15,223,6.37,"204,677",0.11,100,0.42,236,2.36,"8,447",2.79
GiftCardGrabber,2022-11-20,633,10,1.56,25,2.5,210,11.9,10,1.56,14,1.4,41,34.15
GetPaidtoTry PNT,2022-11-20,307,1,0.32,2,2.0,15,13.33,1,0.32,1,1.0,2,50.0
SweepsGeneral,2022-11-20,37,1,2.63,1,1.0,2,50.0,1,2.63,1,1.0,1,100.0
GCG MIKD,2022-11-20,636,1,0.16,1,1.0,41,2.44,1,0.16,1,1.0,6,16.67
Major 2019,2022-11-20,802,1,0.12,1,1.0,208,0.48,1,0.12,1,1.0,3,33.33
SignatureSurveys,2022-11-20,1418,1,0.07,4,4.0,15,26.67,1,0.07,2,2.0,3,66.67
HiddenMoneyFinder MIKD,2022-11-20,21,1,4.55,1,1.0,16,6.25,1,4.55,1,1.0,2,50.0
MajorN1,2022-11-20,555,1,0.18,1,1.0,12,8.33,1,0.18,1,1.0,2,50.0
