mname,date,Inactive Users,1st Time Openers,First Open %,Opens From 1st Users,Opens per New User,Total Opens,% of Opens From New Users,1st Time Clickers,First Click %,Clicks From 1st Users,Clicks per New User,Total Clicks,% of Clicks From New Users
Sig (Dave),2022-11-16,14052,194,0.61,322,3.7,"131,121",0.25,194,1.36,337,1.74,"5,624",5.99
SignatureSurveys A,2022-11-16,7727,161,0.95,393,5.24,"22,710",1.73,161,2.04,227,1.41,841,26.99
MajorSweeps,2022-11-16,1620,14,0.55,45,5.0,483,9.32,14,0.86,21,1.5,60,35.0
IWS,2022-11-16,186,14,2.5,29,5.8,"4,784",0.61,14,7.0,29,2.07,301,9.63
Giftcardgrabber,2022-11-16,39341,139,0.17,156,2.29,"7,932",1.97,139,0.35,184,1.32,930,19.78
Sweepsgen (Dave),2022-11-16,23047,125,0.27,195,3.15,"78,736",0.25,125,0.54,176,1.41,"3,025",5.82
GPTT (Dave),2022-11-16,2412,12,0.29,15,2.14,270,5.56,12,0.5,14,1.17,19,73.68
GCGZ1,2022-11-16,16443,106,0.3,175,3.5,"21,514",0.81,106,0.64,161,1.52,901,17.87
Signature 2019,2022-11-16,171520,104,0.02,107,2.67,"108,075",0.1,104,0.06,134,1.29,"4,615",2.9
GPTTM1,2022-11-16,2569,10,0.35,24,2.67,282,8.51,10,0.39,14,1.4,32,43.75
InstantWinnerSweeps,2022-11-16,19,1,5.0,2,2.0,8,25.0,1,5.0,2,2.0,3,66.67
MajorN2 DRAGON,2022-11-16,670,1,0.15,1,1.0,6,16.67,1,0.15,1,1.0,2,50.0
GETPAIDTOTRY MIKD,2022-11-16,757,1,0.13,2,2.0,5,40.0,1,0.13,1,1.0,1,100.0
SignatureSurveys,2022-11-16,1035,0,0.1,1,1.0,4,25.0,0,0.0,0,,0,
Signature 2019,2022-11-17,172869,99,0.03,171,2.95,"102,579",0.17,99,0.06,138,1.39,"4,817",2.86
